Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
C1,200p,C_0402_1005Metric,104.9,-98.8,0.0,bottom
C2,47uF/6.3V,C_1206_3216Metric,107.4,-103.6,270.0,bottom
C4,47uF/6.3V,C_1206_3216Metric,109.3,-97.55,180.0,bottom
C5,47uF/6.3V,C_1206_3216Metric,109.7,-103.6,270.0,bottom
C6,47uF/6.3V,C_1206_3216Metric,109.3,-99.95,180.0,bottom
C7,47uF/6.3V,C_1206_3216Metric,97.25,-102.15,270.0,bottom
C8,100n,C_0402_1005Metric,97.25,-99.15,0.0,bottom
C9,200p,C_0402_1005Metric,83.2,-89.3,0.0,bottom
C10,100n,C_0402_1005Metric,111.9,-75.056,180.0,bottom
C11,10u,C_0402_1005Metric,112.5,-73.8,180.0,bottom
C12,10u,C_0402_1005Metric,149.25,-114.25,0.0,bottom
C13,100n,C_0402_1005Metric,150.0,-111.8,180.0,bottom
C14,100n,C_0402_1005Metric,111.5,-77.5,270.0,bottom
C15,100n,C_0402_1005Metric,111.545,-85.145,90.0,bottom
C16,100n,C_0402_1005Metric,98.972,-89.463,0.0,bottom
C17,100n,C_0402_1005Metric,99.25,-106.7,180.0,bottom
C18,100n,C_0402_1005Metric,88.4,-76.48,270.0,bottom
C19,100n,C_0402_1005Metric,87.35,-76.45,270.0,bottom
C20,200p,C_0402_1005Metric,88.2,-84.5,180.0,bottom
C21,100n,C_0402_1005Metric,96.55,-89.45,180.0,bottom
C22,200p,C_0402_1005Metric,148.3,-94.2125,180.0,bottom
C23,200p,C_0402_1005Metric,148.3,-80.8125,180.0,bottom
C24,200p,C_0402_1005Metric,148.25,-108.4125,180.0,bottom
C25,200p,C_0402_1005Metric,88.8,-82.15,180.0,bottom
D1,1N5819WS,D_SOD-323,92.1,-92.0,0.0,bottom
D2,1N5819WS,D_SOD-323,92.1,-90.0,0.0,bottom
D3,1N5819WS,D_SOD-323,101.75,-97.25,180.0,bottom
D4,LED_0603,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81.7,-106.1,0.0,top
D5,LED_0603,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.05,-71.175,0.0,top
D6,LED_0603,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,139.075,-69.4,0.0,top
D7,LED_0603,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81.625,-104.5,0.0,top
D8,LED_0603,LED_0603_1608Metric_Pad1.05x0.95mm_HandSolder,81.625,-90.225,0.0,top
J1,IN+,DG235-5.0,83.35,-95.0,-90.0,top
J2,IN-,DG235-5.0,83.35,-100.0,-90.0,top
J3,Proto_matrix_14x9+7,Proto_matrix_14x9+7,126.3065,-92.43,0.0,top
J4,USB_C_Receptacle_USB2.0,USB_C_Receptacle_HRO_TYPE-C-31-M-12,81.5,-82.5,90.0,bottom
J5,Lichtenprog_conn,Lichtenprog,124.445,-69.85,90.0,top
J6,TERM_BLOCK,DG235-5.0,165.75,-104.0,90.0,top
J7,TERM_BLOCK,DG235-5.0,165.75,-99.0,90.0,top
J8,INA_STA,PinHeader_2x02_P2.54mm_Vertical,158.225,-111.775,-90.0,top
J9,TERM_BLOCK,DG235-5.0,165.75,-94.0,90.0,top
J10,TERM_BLOCK,DG235-5.0,165.75,-89.0,90.0,top
J11,TERM_BLOCK,DG235-5.0,165.75,-84.0,90.0,top
J12,TERM_BLOCK,DG235-5.0,165.75,-79.0,90.0,top
L1,47uH/2A,L_Abracon_ASPI-0630LR,103.85,-92.5,180.0,bottom
Q1,MMBT2222A,SOT-23,88.2,-91.6,0.0,bottom
Q2,WST03P06,SOT-23,97.25,-96.5,180.0,bottom
Q3,WST03P06,SOT-23,97.25,-93.0,180.0,bottom
Q4,AO3400A,SOT-23,146.9,-111.7,0.0,bottom
Q5,S9015,SOT-23,84.2,-91.6,0.0,bottom
Q6,MMBT2222A,SOT-23,89.6,-87.0,270.0,bottom
Q7,AO3400A,SOT-23,141.8,-111.7,0.0,bottom
Q8,AO3400A,SOT-23,136.6,-111.7,0.0,bottom
Q9,MMBT2222A,SOT-23,117.7,-73.2,270.0,bottom
Q10,MMBT2222A,SOT-23,122.7,-73.3,270.0,bottom
Q12,MMBT2222A,SOT-23,146.8,-91.35,90.0,bottom
Q13,WST03P06,SOT-23,146.8,-87.35,90.0,bottom
Q14,S9015,SOT-23,143.2,-87.35,270.0,bottom
Q15,MMBT2222A,SOT-23,143.2,-91.25,90.0,bottom
Q16,MMBT2222A,SOT-23,146.8,-77.95,90.0,bottom
Q17,WST03P06,SOT-23,146.8,-73.95,90.0,bottom
Q18,S9015,SOT-23,143.2,-73.95,270.0,bottom
Q19,MMBT2222A,SOT-23,143.2,-77.85,90.0,bottom
Q20,MMBT2222A,SOT-23,146.75,-105.55,90.0,bottom
